Ear Tag Number,Date of birth,M/F,Bull?,Empty?,Date on farm,Date off farm
UK542511306674,19-Apr-22,Female,,Y,01-Apr-23,
UK542511506620,09-Apr-22,Female,,Y,01-Apr-23,
UK542511706601,05-Apr-22,Female,,,01-Apr-23,
UK286872201460,16-Jul-22,Female,,,01-Jul-23,
UK286872101452,25-Jun-22,Female,,,01-Jul-23,
UK286872501442,21-May-22,Female,,,01-Jul-23,
UK303010501441,11-Jun-25,Female,,,08-Apr-26,
UK286872701437,20-May-22,Female,,,01-Jul-23,
UK303010101437,11-Jun-25,Female,,,08-Apr-26,
UK286872401434,16-May-22,Female,,,01-Jul-23,
UK286872301433,13-May-22,Female,,,01-Jul-23,
UK286872101431,06-May-22,Female,,,01-Jul-23,
UK303010401426,19-May-25,Female,,,08-Apr-26,
UK303010401419,15-May-25,Male,,,08-Apr-26,
UK303010301418,15-May-25,Female,,,08-Apr-26,
UK303010201417,15-May-25,Female,,,08-Apr-26,
UK286872601366,28-Jun-21,Female,,,01-Jul-23,
UK286872301342,26-Apr-21,Female,,,01-Jul-23,
UK286872701339,04-May-21,Female,,,01-Jul-23,
UK303010501336,24-May-23,Female,,,08-Apr-26,
UK303010701317,14-May-23,Female,,,08-Apr-26,
UK286872101256,24-Apr-20,Female,,,01-Jul-23,
UK303010501210,16-May-22,Female,,,08-Apr-26,
UK303010201207,14-May-22,Female,,,08-Apr-26,
UK303010301201,11-May-22,Female,,,08-Apr-26,
UK162197700825,18-Mar-24,Female,,,26-Oct-24,
UK162197500823,16-Mar-24,Female,,,26-Oct-24,
UK162197300821,14-Mar-24,Female,,,26-Oct-24,
UK162197600817,10-Mar-24,Female,,,26-Oct-24,
UK162197300814,08-Mar-24,Female,,,26-Oct-24,
UK162197600810,06-Mar-24,Female,,,26-Oct-24,
UK162197300807,03-Mar-24,Female,,,26-Oct-24,
UK162197200806,03-Mar-24,Female,,,26-Oct-24,
UK162197700804,02-Mar-24,Female,,,26-Oct-24,
UK162197600803,02-Mar-24,Female,,,26-Oct-24,
UK162197500802,01-Mar-24,Female,,,26-Oct-24,
UK162197400801,27-Feb-24,Female,,,26-Oct-24,
UK162197300800,26-Feb-24,Female,,,26-Oct-24,
UK540196700613,28-Mar-16,Female,,,07-Jul-17,
UK307558600402,17-May-25,Female,,,08-Apr-26,
UK307558500345,05-Jul-23,Female,,,28-Mar-24,
UK307558300343,24-Jun-23,Female,,,28-Mar-24,
UK307558100334,06-Jun-23,Female,,,06-Jun-23,
UK307558600332,03-Jun-23,Female,,,28-Mar-24,
UK307558600325,29-May-23,Female,,,28-Mar-24,
UK307558600318,11-May-23,Female,,,11-May-23,
UK307558500317,25-May-23,Female,,,08-Apr-26,
UK307558400316,24-May-23,Female,,,24-May-23,
UK307558500310,20-May-23,Female,,,20-May-23,
UK307558300308,19-May-23,Female,,,19-May-23,
UK307558700305,19-May-23,Female,,,08-Apr-26,
UK307558400302,16-May-23,Male,Y,,16-May-23,
UK307558300301,14-May-23,Female,,,14-May-23,
UK307558200300,15-May-23,Female,,,15-May-23,
UK307558600297,12-May-23,Female,,,08-Apr-26,
UK307558600290,08-May-23,Female,,,28-Mar-24,
UK307558400288,07-May-23,Female,,,28-Mar-24,
UK307558200286,06-May-23,Female,,,08-Apr-26,
UK307558600283,02-Jul-22,Female,,,08-Apr-26,
UK307558100271,27-May-22,Female,,,27-May-22,
UK307558100215,23-May-22,Female,,,08-Apr-26,
UK307558300175,22-May-21,Male,Y,,22-May-21,
UK307558500156,22-Jun-20,Female,,,22-Jun-20,
UK307558200139,06-Jun-20,Female,,,08-Apr-26,
UK307558700130,02-Jun-20,Female,,,02-Jun-20,
UK307558400127,02-Jun-20,Female,,,08-Apr-26,
UK307558600115,29-May-20,Female,,,29-May-20,
UK307558300112,29-May-20,Female,,,29-May-20,
UK521497700112,19-May-15,Male,Y,,22-Jul-21,
UK307558100110,28-May-20,Female,,,28-May-20,
UK307558700109,28-May-20,Female,,,28-May-20,
UK307558200090,05-Jul-19,Female,,,05-Jul-19,
UK307558200076,01-Jul-19,Female,,,01-Jul-19,
UK307558400071,25-May-19,Female,,,08-Apr-26,
UK450291300069,30-Jun-25,Female,,,30-Jun-25,
UK450291200068,28-Jun-25,Male,,,28-Jun-25,
UK307558300063,21-May-19,Female,,,21-May-19,
UK307558200062,21-May-19,Female,,,21-May-19,
UK450291300062,07-Jun-25,Female,,,07-Jun-25,
UK307558500058,14-May-19,Female,,,08-Apr-26,
UK450291500057,27-May-25,Female,,,27-May-25,
UK450291400056,27-May-25,Female,,,27-May-25,
UK307558300056,13-May-19,Female,,,13-May-19,
UK450291300055,26-May-25,Male,,,26-May-25,
UK450291100053,25-May-25,Female,,,25-May-25,
UK307558600052,11-May-19,Female,,,08-Apr-26,
UK450291600051,24-May-25,Male,,,24-May-25,
UK450291500050,24-May-25,Female,,,08-Apr-26,
UK450291400049,23-May-25,Female,,,23-May-25,
UK450291300048,23-May-25,Male,,,23-May-25,
UK450291200047,23-May-25,Female,,,08-Apr-26,
UK450291100046,22-May-25,Male,,,22-May-25,
UK450291700045,22-May-25,Female,,,22-May-25,
UK450291600044,22-May-25,Female,,,22-May-25,
UK450291500043,22-May-25,Female,,,22-May-25,
UK450291400042,20-May-25,Female,,,20-May-25,
UK450291200040,20-May-25,Male,,,20-May-25,
UK450291100039,20-May-25,Female,,,20-May-25,
UK450291700038,19-May-25,Female,,,19-May-25,
UK450291600037,19-May-25,Female,,,19-May-25,
UK450291400035,18-May-25,Male,,,18-May-25,
UK450291300034,18-May-25,Male,,,18-May-25,
UK450291100032,16-May-25,Female,,,16-May-25,
UK450291700031,15-May-25,Male,,,15-May-25,
UK450291600030,15-May-25,Female,,,08-Apr-26,
UK450291500029,15-May-25,Female,,,08-Apr-26,
UK450291300027,14-May-25,Female,,,14-May-25,
UK450291200026,13-May-25,Female,,,13-May-25,
UK450291700024,13-May-25,Female,,,13-May-25,
UK450291500022,12-May-25,Female,,,12-May-25,
UK450291400021,12-May-25,Male,,,12-May-25,
UK450291300020,12-May-25,Female,,,08-Apr-26,
UK450291200019,12-May-25,Male,,,12-May-25,
UK450291100018,10-May-25,Male,,,10-May-25,
UK450291500015,08-May-25,Male,,,08-May-25,
UK450291700010,06-May-25,Female,,,06-May-25,
UK450291600009,05-May-25,Male,,,05-May-25,
UK307558400008,01-Dec-17,Male,Y,,22-May-24,
UK450291500008,05-May-25,Male,,,05-May-25,
UK450291300006,04-May-25,Female,,,04-May-25,
UK450291200005,04-May-25,Female,,,08-Apr-26,
UK450291700003,04-May-25,Female,,,08-Apr-26,
UK450291600002,02-May-25,Female,,,02-May-25,
UK450291500001,30-Apr-25,Female,,,30-Apr-25,
